Healthcenter,Healthcenter Latitude,Healthcenter Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Hospital,39.789013,-86.072032,Mr. Garcia's Hot Dog Cart,39.788696,-86.07715,Food Truck
Hospital,39.789013,-86.072032,Java City,39.78774,-86.075214,Café
Hospital,39.789013,-86.072032,CHE Cafe,39.787533,-86.075716,Café
Hospital,39.789013,-86.072032,Jasmine Gift Shop,39.786585,-86.075015,Gift Shop
Hospital,39.789013,-86.072032,Eastside RX Shoppe,39.78866,-86.077326,Pharmacy
Care Center at the Tower,39.789013,-86.072032,Mr. Garcia's Hot Dog Cart,39.788696,-86.07715,Food Truck
Care Center at the Tower,39.789013,-86.072032,Java City,39.78774,-86.075214,Café
Care Center at the Tower,39.789013,-86.072032,CHE Cafe,39.787533,-86.075716,Café
Care Center at the Tower,39.789013,-86.072032,Jasmine Gift Shop,39.786585,-86.075015,Gift Shop
Care Center at the Tower,39.789013,-86.072032,Eastside RX Shoppe,39.78866,-86.077326,Pharmacy
IU Health Sleep Disorders Center - Indianapoli...,39.789013,-86.072032,Mr. Garcia's Hot Dog Cart,39.788696,-86.07715,Food Truck
IU Health Sleep Disorders Center - Indianapoli...,39.789013,-86.072032,Java City,39.78774,-86.075214,Café
IU Health Sleep Disorders Center - Indianapoli...,39.789013,-86.072032,CHE Cafe,39.787533,-86.075716,Café
IU Health Sleep Disorders Center - Indianapoli...,39.789013,-86.072032,Jasmine Gift Shop,39.786585,-86.075015,Gift Shop
IU Health Sleep Disorders Center - Indianapoli...,39.789013,-86.072032,Eastside RX Shoppe,39.78866,-86.077326,Pharmacy
University hospital west,39.77141,-86.174826,IUPUI: The IU Natatorium (The Nat) (PE),39.770722,-86.175011,Gym Pool
University hospital west,39.77141,-86.174826,NIFS—National Institute for Fitness and Sport,39.769113,-86.174091,Gym
University hospital west,39.77141,-86.174826,IndyEleven @ Carroll Stadium,39.770836,-86.177518,Soccer Stadium
University hospital west,39.77141,-86.174826,IUPUI: Michael A Carroll Track & Soccer Stadiu...,39.771456,-86.17799,College Soccer Field
University hospital west,39.77141,-86.174826,Caribou Coffee,39.7739,-86.176307,Coffee Shop
University hospital west,39.77141,-86.174826,White River Promenade,39.767541,-86.174519,Trail
University hospital west,39.77141,-86.174826,Oceans Building,39.767472,-86.176762,Zoo Exhibit
University hospital west,39.77141,-86.174826,White River Wapahani Trail,39.768458,-86.173629,Trail
University hospital west,39.77141,-86.174826,Chick-fil-A,39.773947,-86.176342,Fast Food Restaurant
University hospital west,39.77141,-86.174826,NCAA Hall of Champions,39.768058,-86.171358,Museum
University hospital west,39.77141,-86.174826,Starbucks,39.77396,-86.176053,Coffee Shop
University hospital west,39.77141,-86.174826,Barnes & Noble @ IUPUI,39.774033,-86.176108,College Bookstore
University hospital west,39.77141,-86.174826,Spotz Grille,39.773542,-86.176221,American Restaurant
University hospital west,39.77141,-86.174826,Bistro @ University Place,39.775276,-86.174789,Restaurant
University hospital west,39.77141,-86.174826,Nite Ride,39.77188,-86.1801,Athletics & Sports
University hospital west,39.77141,-86.174826,Shark Exhibit,39.767439,-86.176762,Zoo Exhibit
University hospital west,39.77141,-86.174826,Polar Bear Exhibit,39.76769,-86.177567,Park
University hospital west,39.77141,-86.174826,Walrus Viewing,39.76762,-86.177905,Zoo Exhibit
Care Center,39.77141,-86.174826,IUPUI: The IU Natatorium (The Nat) (PE),39.770722,-86.175011,Gym Pool
Care Center,39.77141,-86.174826,NIFS—National Institute for Fitness and Sport,39.769113,-86.174091,Gym
Care Center,39.77141,-86.174826,IndyEleven @ Carroll Stadium,39.770836,-86.177518,Soccer Stadium
Care Center,39.77141,-86.174826,IUPUI: Michael A Carroll Track & Soccer Stadiu...,39.771456,-86.17799,College Soccer Field
Care Center,39.77141,-86.174826,Caribou Coffee,39.7739,-86.176307,Coffee Shop
Care Center,39.77141,-86.174826,White River Promenade,39.767541,-86.174519,Trail
Care Center,39.77141,-86.174826,Oceans Building,39.767472,-86.176762,Zoo Exhibit
Care Center,39.77141,-86.174826,White River Wapahani Trail,39.768458,-86.173629,Trail
Care Center,39.77141,-86.174826,Chick-fil-A,39.773947,-86.176342,Fast Food Restaurant
Care Center,39.77141,-86.174826,NCAA Hall of Champions,39.768058,-86.171358,Museum
Care Center,39.77141,-86.174826,Starbucks,39.77396,-86.176053,Coffee Shop
Care Center,39.77141,-86.174826,Barnes & Noble @ IUPUI,39.774033,-86.176108,College Bookstore
Care Center,39.77141,-86.174826,Spotz Grille,39.773542,-86.176221,American Restaurant
Care Center,39.77141,-86.174826,Bistro @ University Place,39.775276,-86.174789,Restaurant
Care Center,39.77141,-86.174826,Nite Ride,39.77188,-86.1801,Athletics & Sports
Care Center,39.77141,-86.174826,Shark Exhibit,39.767439,-86.176762,Zoo Exhibit
Care Center,39.77141,-86.174826,Polar Bear Exhibit,39.76769,-86.177567,Park
Care Center,39.77141,-86.174826,Walrus Viewing,39.76762,-86.177905,Zoo Exhibit
Sleep/Wake Disorders Center - North,39.77141,-86.174826,IUPUI: The IU Natatorium (The Nat) (PE),39.770722,-86.175011,Gym Pool
Sleep/Wake Disorders Center - North,39.77141,-86.174826,NIFS—National Institute for Fitness and Sport,39.769113,-86.174091,Gym
