GEOID,Name,Median_Hhold._Income_of_Residents_in_2012-16,Population_Density_in_2010,Poverty_Rate_in_2012-16,Total Population,Population 18 and Older,Population Under 18,White Alone,Black Alone,Asian Alone,Other Race Alone,Multi-Race,Hispanic,"White Alone, Non-Hispanic",Total Minority Population,Total Housing Units,Occupied Housing Units,Vacant Housing Units
18011810300,"Lebanon, IN",58759,93.68,0.056,6028,4868,1160,5488,69,40,85,346,295,5435,593,2573,2483,90
18011810601,"Whitestown, IN",77501,109.2,0.125,8163,5749,2414,6957,273,242,144,547,345,6879,1284,2988,2892,96
18011810603,"Zionsville, IN",110837,751.2,0.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18011810604,"Zionsville, IN",137462,888.5,0.0239,6486,4463,2023,5687,120,298,51,330,181,5650,836,2128,2074,54
18011810605,"Zionsville, IN",99611,962,0.0123,7083,5701,1382,5955,210,336,117,465,366,5897,1186,3424,3125,299
18011810700,"Lebanon, IN",64355,49.43,0.1187,5014,3906,1108,4560,100,69,69,216,90,4537,477,2121,1991,130
18057110100,"Noblesville, IN",61367,114.4,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110300,"Westfield, IN",67641,160.9,0.1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110401,"Westfield, IN",54895,380.3,0.073,4443,3343,1100,3628,54,42,409,310,633,3534,909,1792,1634,158
18057110403,"Westfield, IN",78386,1713,0.0663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110404,"Carmel, IN",101198,2690,0.0257,5309,3861,1448,4668,124,147,84,286,185,4625,684,1947,1902,45
18057110505,"Noblesville, IN",78958,733,0.0436,7344,5262,2082,6347,162,140,261,434,513,6210,1134,2562,2478,84
18057110506,"Noblesville, IN",84169,856.3,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110507,"Noblesville, IN",100194,668.4,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110508,"Noblesville, IN",66540,922,0.0486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110509,"Noblesville, IN",64876,1089,0.0811,5469,4020,1449,4684,128,70,242,345,430,4606,863,2193,2062,131
18057110511,"Noblesville, IN",91348,1739,0.0305,5688,4204,1484,5215,50,52,54,317,191,5180,508,2073,2035,38
18057110600,"Noblesville, IN",48587,3386,0.1676,4175,3255,920,3505,278,53,78,261,218,3450,725,1911,1792,119
18057110700,"Noblesville, IN",40027,2341,0.1522,3402,2620,782,2897,79,19,143,264,219,2851,551,1577,1430,147
18057110804,"Fortville, IN",125073,726.6,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110805,"Hawthorn Hills, Fishers, IN",113362,2661,0.0342,7793,5722,2071,6586,254,407,105,441,254,6521,1272,2809,2716,93
18057110806,"Fishers, IN",92016,1963,0.0177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110807,"Summerfield, Fishers, IN",75562,1854,0.072,6481,4869,1612,4414,463,926,201,477,446,4332,2149,2868,2664,204
18057110808,"Fishers, IN",102096,2569,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110809,"Fishers, IN",87213,2678,0.0657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110810,"Fishers, IN",71705,1584,0.0328,6832,5380,1452,5617,418,265,106,426,281,5558,1274,3274,3098,176
18057110811,"Fishers, IN",70455,1935,0.0265,4492,3693,799,3537,337,217,96,305,260,3475,1017,2128,2026,102
18057110812,"Sunblest, Fishers, IN",84339,2066,0.0351,6686,5124,1562,5318,230,443,232,463,486,5215,1471,2887,2770,117
18057110903,"Carmel, IN",139372,1641,0.0324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057110904,"Carmel, IN",145943,2712,0.0019,4652,3397,1255,4022,75,250,27,278,162,3993,659,1579,1545,34
18057110905,"Carmel Arts & Design District, Carmel, IN",67923,1946,0.0723,3819,3105,714,3007,122,220,126,344,332,2963,856,2188,1980,208
18057110906,"Carmel, IN",113375,2898,0.0385,6774,4930,1844,5846,148,332,97,351,232,5789,985,2536,2448,88
18057110907,"Carmel, IN",154645,2544,0.0067,5358,3869,1489,4600,97,351,16,294,139,4553,805,1768,1740,28
18057110908,"Carmel, IN",112809,1793,0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057111001,"Carmel, IN",149489,1025,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057111003,"Carmel, IN",105403,2386,0.0195,4726,3584,1142,4280,49,95,38,264,108,4255,471,1859,1797,62
18057111004,"Woodland Springs, Carmel, IN",106315,2223,0.0194,3014,2258,756,2493,107,189,32,193,113,2474,540,1125,1093,32
18057111006,"Indianapolis, IN",71477,1776,0.0596,4171,3291,880,3370,112,241,99,349,260,3315,856,1857,1753,104
18057111007,"Carmel, IN",50499,3381,0.1867,4030,3146,884,2884,234,274,204,434,510,2841,1189,1846,1675,171
18057111008,"Carmel, IN",55026,2052,0.0789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18057111101,"Carmel, IN",105502,1281,0.0129,3852,2820,1032,3229,120,231,56,216,135,3197,655,1454,1408,46
18057111102,"Carmel, IN",82234,1217,0.0602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18059410200,"McCordsville, IN",75212,352.1,0.0508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18059410900,"Greenfield, IN",86743,234.6,0.0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18063210102,"Brownsburg, IN",86182,880.4,0.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18063210104,"Brownsburg, IN",92129,497.2,0.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18063210201,"Brownsburg, IN",55549,2300,0.0752,4591,3480,1111,3588,404,149,110,340,262,3547,1044,2196,1982,214
18063210202,"Brownsburg, IN",52061,2418,0.0371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18063210604,"Avon, IN",73170,1864,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097310103,"Indianapolis, IN",109527,522,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097310104,"Indianapolis, IN",46218,1006,0.0991,3576,3208,368,2296,776,157,104,243,245,2252,1324,2339,2122,217
18097310105,"Indianapolis, IN",50403,1300,0.1053,3830,2985,845,1542,1583,107,298,300,435,1493,2337,1766,1709,57
18097310106,"Westchester Estates, Indianapolis, IN",36052,4399,0.0845,4161,3461,700,1574,1689,172,387,339,619,1496,2665,2429,2302,127
18097310108,"Indianapolis, IN",88879,1324,0.0423,3597,3081,516,2722,498,109,59,209,152,2700,897,1712,1627,85
18097310110,"Indianapolis, IN",49312,3947,0.0392,3125,2456,669,1086,1524,74,193,248,350,1033,2092,1623,1524,99
18097310111,"Eagle Cove, Indianapolis, IN",46780,3070,0.0949,3771,2999,772,1172,1920,69,297,313,514,1102,2669,1954,1810,144
18097310201,"Augusta Green, Indianapolis, IN",58327,1140,0.1027,4603,3454,1149,1424,2089,178,515,397,755,1368,3235,1838,1774,64
